Video_id,Segment_id,Pred,Pred_binary,Pred_7
-6rXp3zJ3kc,0,0.92,positive,slightly positive
-6rXp3zJ3kc,1,-1.22,negative,slightly negative
-6rXp3zJ3kc,2,0.2,positive,Neutral
-9y-fZ3swSY,0,0.52,positive,slightly positive
-9y-fZ3swSY,1,2.67,positive,very positive
-9y-fZ3swSY,2,-0.53,negative,slightly negative
-9y-fZ3swSY,3,-0.68,negative,slightly negative
-9y-fZ3swSY,4,-0.54,negative,slightly negative
-9y-fZ3swSY,5,-0.1,negative,Neutral
-9y-fZ3swSY,6,0.36,positive,Neutral
-9y-fZ3swSY,7,0.24,positive,Neutral
-AUZQgSxyPQ,0,1.52,positive,positive
-HeZS2-Prhc,0,0.95,positive,slightly positive
-HeZS2-Prhc,1,0.12,positive,Neutral
-HeZS2-Prhc,2,1.03,positive,slightly positive
-HeZS2-Prhc,3,0.17,positive,Neutral
-MeTTeMJBNc,0,0.22,positive,Neutral
-MeTTeMJBNc,1,0.33,positive,Neutral
-MeTTeMJBNc,2,-0.32,negative,Neutral
-MeTTeMJBNc,3,0.0,positive,Neutral
-RfYyzHpjk4,0,2.1,positive,positive
-RfYyzHpjk4,1,0.02,positive,Neutral
-RfYyzHpjk4,2,-0.18,negative,Neutral
-RfYyzHpjk4,3,0.72,positive,slightly positive
-UUCSKoHeMA,0,-0.37,negative,Neutral
-UUCSKoHeMA,1,-0.69,negative,slightly negative
-UUCSKoHeMA,2,0.56,positive,slightly positive
-UUCSKoHeMA,3,0.11,positive,Neutral
-cEhr0cQcDM,0,0.23,positive,Neutral
-cEhr0cQcDM,1,1.39,positive,positive
-ri04Z7vwnc,0,-0.83,negative,slightly negative
-ri04Z7vwnc,1,-0.18,negative,Neutral
-ri04Z7vwnc,2,0.1,positive,Neutral
-ri04Z7vwnc,3,0.09,positive,Neutral
-ri04Z7vwnc,4,-0.43,negative,slightly negative
-ri04Z7vwnc,5,0.63,positive,slightly positive
-rxZxtG0xmY,0,-0.42,negative,Neutral
-rxZxtG0xmY,1,-0.6,negative,slightly negative
-s9qJ7ATP7w,0,0.29,positive,Neutral
-s9qJ7ATP7w,1,0.18,positive,Neutral
-s9qJ7ATP7w,2,0.04,positive,Neutral
-s9qJ7ATP7w,3,1.04,positive,slightly positive
-s9qJ7ATP7w,4,-2.25,negative,very negative
-s9qJ7ATP7w,5,-0.23,negative,Neutral
-s9qJ7ATP7w,6,0.88,positive,slightly positive
-s9qJ7ATP7w,7,1.3,positive,positive
-s9qJ7ATP7w,8,0.24,positive,Neutral
-s9qJ7ATP7w,9,-0.37,negative,Neutral
-yRb-Jum7EQ,0,-1.96,negative,negative
-yRb-Jum7EQ,1,-1.34,negative,negative
-yRb-Jum7EQ,2,-2.02,negative,negative
-yRb-Jum7EQ,3,-0.4,negative,Neutral
-yRb-Jum7EQ,4,-1.76,negative,negative
0Fqav67TDEw,0,0.65,positive,slightly positive
0JaYazphxfM,0,1.05,positive,slightly positive
0JaYazphxfM,1,-0.39,negative,Neutral
0K7dCp80n9c,0,0.02,positive,Neutral
0K7dCp80n9c,1,1.2,positive,slightly positive
0K7dCp80n9c,2,1.29,positive,positive
0K7dCp80n9c,3,0.39,positive,Neutral
0K7dCp80n9c,4,-1.28,negative,slightly negative
0K7dCp80n9c,5,0.08,positive,Neutral
0K7dCp80n9c,6,-0.76,negative,slightly negative
0K7dCp80n9c,7,0.46,positive,slightly positive
0PlQc98SccA,0,0.6,positive,slightly positive
0PlQc98SccA,1,-0.36,negative,Neutral
0PlQc98SccA,2,-0.59,negative,slightly negative
0YiAKqU36KE,0,-1.5,negative,negative
0YiAKqU36KE,1,-1.34,negative,negative
0YiAKqU36KE,2,0.07,positive,Neutral
0YiAKqU36KE,3,-0.93,negative,slightly negative
0YiAKqU36KE,4,-1.0,negative,slightly negative
