Index,Video_id,Clip_id,Text,Label,Label_binary,Label_7,Pred,Pred_binary,Pred_7
0,c7UH_rxdZv4,0,oh my gosh bad movie,-2.8,negative,very negative,-0.97,negative,slightly negative
1,c7UH_rxdZv4,1,really bad movie,-2.6,negative,very negative,-1.32,negative,negative
2,c7UH_rxdZv4,2,i wish i werent because,-0.8,negative,slightly negative,-0.99,negative,slightly negative
3,c7UH_rxdZv4,3,werent because i truly love an action flick action comedy flick even better right,1.6,positive,positive,0.07,positive,Neutral
4,c7UH_rxdZv4,4,but basically seth rogan brought none of the charm that he normally does to his roles,-2.2,negative,very negative,-0.73,negative,slightly negative
5,c7UH_rxdZv4,5,in fact i have to say that this was one of those obnoxious main characters ive seen a long time,-2.6,negative,very negative,-1.63,negative,negative
6,c7UH_rxdZv4,6,yeap a horrible protagonist,-3.0,negative,very negative,-2.1,negative,negative
7,c7UH_rxdZv4,7,he um had all the charm of a narcissist xxx boy the whole film,-2.8,negative,very negative,1.71,positive,positive
8,c7UH_rxdZv4,8,and unlike other films for they kind of a narcisstic xxx boy but they bring something to the table you know,-0.4,negative,Neutral,1.09,positive,slightly positive
9,c7UH_rxdZv4,9,theres something that just kind of makes tham so sl slightly endearing even though theyre kind of the jack ass you know,0.8,positive,slightly positive,0.25,positive,Neutral
10,c7UH_rxdZv4,10,youre like oh theyre still kind of cool,1.0,positive,slightly positive,0.99,positive,slightly positive
11,c7UH_rxdZv4,11,no no hes unfunny not funny at all,-2.8,negative,very negative,-1.1,negative,slightly negative
12,c7UH_rxdZv4,12,um hes just a jack ass,-2.6,negative,very negative,0.05,positive,Neutral
13,c7UH_rxdZv4,13,um kato kicks ass handsome guy,1.2,positive,slightly positive,1.41,positive,positive
14,c7UH_rxdZv4,14,boring,-2.4,negative,very negative,-1.77,negative,negative
15,c7UH_rxdZv4,15,hes boring,-2.0,negative,negative,-0.52,negative,slightly negative
16,c7UH_rxdZv4,16,just like look away what he can do he can do lots of stuff sath,-1.4,negative,negative,0.72,positive,slightly positive
17,c7UH_rxdZv4,17,what wa what hes what w why you have no skills whatsoeveryou cant,-2.25,negative,very negative,-1.41,negative,negative
18,c7UH_rxdZv4,18,even tell funny jokes,-1.8,negative,negative,0.6,positive,slightly positive
19,c7UH_rxdZv4,19,and than cameron diaz whos supposed to be plucky i guess but shes just kinf of useless,-1.8,negative,negative,-1.66,negative,negative
20,c7UH_rxdZv4,20,hi im pretty i have a giant smile im supposed to know thingsum walk of screen,-0.8,negative,slightly negative,-0.32,negative,Neutral
21,c7UH_rxdZv4,21,um yeah the characters didnt care weather they lived or died,-2.4,negative,very negative,-0.81,negative,slightly negative
22,c7UH_rxdZv4,22,kato was the only one that was any good whatsoever,-0.6,negative,slightly negative,-1.24,negative,slightly negative
23,c7UH_rxdZv4,23,and he was still boring,-1.8,negative,negative,-1.96,negative,negative
24,c7UH_rxdZv4,24,um yeah the special effects were ok,0.0,negative,Neutral,1.42,positive,positive
25,c7UH_rxdZv4,25,nothing thats worth going to theaters to see,-2.6,negative,very negative,-0.8,negative,slightly negative
